Date;Pais;Combustíveis sólidos;Petróleo bruto e produtos petrolíferos;Gás;Energia eléctrica;Energias renováveis
1990;Alemania;32270.5;92189.7;36808.3;39129.8;2984.5
1991;Alemania;21172.2;99293.9;40311.4;39150.7;2845.7
1992;Alemania;15263.3;99628.2;41113.3;38772.7;2669.9
1993;Alemania;12373.7;102199.9;43753.4;38354.8;2694.7
1994;Alemania;10830.3;98537.6;44743.7;38140.4;2723
1995;Alemania;9672.6;98815.8;48213.4;38797;2727.4
1996;Alemania;9340;102089.1;54288.4;39411.7;2767.7
1997;Alemania;8701.1;100195.2;51811.5;39701.4;4149
1998;Alemania;6781.4;99342.3;51873.2;40079.7;4436.4
1999;Alemania;6087.4;95466.2;52158.7;40712;4419.1
2000;Alemania;5587;92269.5;52981.3;41569.5;4828.4
2001;Alemania;5213.5;94499.8;53933.2;42585.3;5205
2002;Alemania;4957.9;90185;53914.9;43723.8;5567.4
2003;Alemania;5818;88137.8;53218.2;44273.7;7908.3
2004;Alemania;4767.7;85164.7;53554.4;44851.3;8838.1
2005;Alemania;4033.9;82171.3;52614.2;44918.9;10105.1
2006;Alemania;4798.1;82824.4;53538;45411.5;12677
2007;Alemania;4590.7;71231.7;51279.9;45531.6;14087.5
2008;Alemania;4154.4;78408.7;52595.4;45379.4;14170.3
2009;Alemania;3727.8;74578.2;48911.6;42776.6;13693.5
2010;Alemania;4375.2;74946.6;53993.4;45745.7;16217.9
2011;Alemania;4880.8;72300.4;48190.4;45131.3;15308.1
2012;Alemania;4341.9;72565.8;50299.8;45100.9;16705.6
2013;Alemania;4318.2;75296.2;52845.6;44910.6;16948.1
2014;Alemania;4077.8;73692.5;47428.6;44003.2;15526.9
2015;Alemania;4749.3;73037.1;49302.2;44277.6;15583
2016;Alemania;4630.1;73583.5;52415.6;44501.6;15387.9
2017;Alemania;4547.9;73663;52772.2;44621.9;15779.6
2018;Alemania;3758.5;70187.3;53196.1;44080.5;16446.5
2019;Alemania;3421.6;72069.2;52364.1;42950.5;16618.1
1990;Austria;1078.5;7515.5;2675.8;3677.3;2104.9
1991;Austria;1157.7;8193.1;2884.7;3853.7;2268
1992;Austria;978.6;7951.9;3000.2;3812.4;2185.8
1993;Austria;887;8260;3058.4;3865.7;2196.5
1994;Austria;796.8;8073;3017.6;3921.3;2020
1995;Austria;783.4;8261.3;3416.3;4016.5;2184
1996;Austria;771.6;9180.2;3679.7;4154;2324.6
1997;Austria;757.1;8785.1;3685.6;4205;2274.2
1998;Austria;689.4;9338.5;3767.5;4274.3;2179.6
1999;Austria;687.5;9028.4;3868.2;4373.4;2527.9
2000;Austria;655.2;9017.6;3953.3;4431.7;2407.6
2001;Austria;587.9;9594.3;4468.9;4610;2563.6
2002;Austria;562.6;10180.7;4317.3;4630.6;2366
2003;Austria;531;10962.4;4544.7;4782.2;2448.6
2004;Austria;517.3;10980.3;4657.9;4881.9;2428.8
2005;Austria;492.7;11186.3;4665.9;4944.1;2938.7
2006;Austria;530.1;10705.3;4641.3;5041.6;3302.6
2007;Austria;493.8;10303.7;4394.3;5083.8;3527.6
2008;Austria;467.3;10029.2;4531.3;5108.8;3598.1
2009;Austria;390.1;9479;4397.8;4917.9;3780.3
2010;Austria;364.7;9675.9;4740.6;5153.4;4117.8
2011;Austria;340.9;9143.8;4551.5;5150;3989.5
2012;Austria;344.6;8913.3;4553.4;5230;4147.3
2013;Austria;345.2;9196.2;4728.8;5258;4219
2014;Austria;340.8;8884.4;4379.5;5176.2;4059.3
2015;Austria;352.9;9068.7;4561.3;5258.3;4251.9
2016;Austria;361;9274.4;4728.3;5342.9;4289.9
2017;Austria;328.8;9487.3;4786.5;5424.1;4301.9
2018;Austria;296.2;9445.9;4655.6;5455.3;4099.7
2019;Austria;291.8;9517;4723.5;5461.1;4110.5
1990;Bélgica;2027.4;13554.4;6400.6;4985.7;325.2
1991;Bélgica;1984.1;14637.5;6738.9;5203.4;329.4
1992;Bélgica;1588.6;15135.1;6782.3;5381.2;319.9
1993;Bélgica;1298.5;14821;7139.1;5442.8;250.3
1994;Bélgica;1250.9;15032.5;7283.6;5713.4;244.4
1995;Bélgica;1163.2;15112;7850.6;5885.5;347.5
1996;Bélgica;1065;16136;8878.4;6008.3;356.5
1997;Bélgica;954.7;16085.5;8224.5;6176.2;337.1
1998;Bélgica;799.3;16150.7;8661.6;6359.4;382
1999;Bélgica;743.9;15651;8813.1;6406.5;409
2000;Bélgica;908.2;15141.7;9328.9;6667.4;409
2001;Bélgica;1685.7;15592.9;9643.2;6719;462
